"old","new"
"X12.Input.NoMethionine.normalized_counts","TotalRNA.NoMethionine.Rep2.normCounts"
"X13.Input.Control.normalized_counts","TotalRNA.Control.Rep3.normCounts"
"X14.Input.NoGlucose.normalized_counts","TotalRNA.NoGlucose.Rep3.normCounts"
"X15.Input.NoGlutamine.normalized_counts","TotalRNA.NoGlutamine.Rep3.normCounts"
"X16.Input.NoBCAA.normalized_counts","TotalRNA.NoBCAA.Rep3.normCounts"
"X17.Input.NoArginine.normalized_counts","TotalRNA.NoArginine.Rep3.normCounts"
"X18.Input.NoMethionine.normalized_counts","TotalRNA.NoMethionine.Rep3.normCounts"
"X19.PooledPolysome.Control.normalized_counts","PolyRNA.Control.Rep1.normCounts"
"X20.PooledPolysome.NoGlucose.normalized_counts","PolyRNA.NoGlucose.Rep1.normCounts"
"X21.PooledPolysome.NoGlutamine.normalized_counts","PolyRNA.NoGlutamine.Rep1.normCounts"
"X22.PooledPolysome.NoBCAA.normalized_counts","PolyRNA.NoBCAA.Rep1.normCounts"
"X23.PooledPolysome.NoArginine.normalized_counts","PolyRNA.NoArginine.Rep1.normCounts"
"X24.PooledPolysome.NoMethionine.normalized_counts","PolyRNA.NoMethionine.Rep1.normCounts"
"X25.PooledPolysome.Control.normalized_counts","PolyRNA.Control.Rep2.normCounts"
"X26.PooledPolysome.NoGlucose.normalized_counts","PolyRNA.NoGlucose.Rep2.normCounts"
"X27.PooledPolysome.NoGlutamine.normalized_counts","PolyRNA.NoGlutamine.Rep2.normCounts"
"X28.PooledPolysome.NoBCAA.normalized_counts","PolyRNA.NoBCAA.Rep2.normCounts"
"X29.PooledPolysome.NoArginine.normalized_counts","PolyRNA.NoArginine.Rep2.normCounts"
"X30.PooledPolysome.NoMethionine.normalized_counts","PolyRNA.NoMethionine.Rep2.normCounts"
"X31.PooledPolysome.Control.normalized_counts","PolyRNA.Control.Rep3.normCounts"
"X32.PooledPolysome.NoGlucose.normalized_counts","PolyRNA.NoGlucose.Rep3.normCounts"
